trader,total_volume,total_score,top_percentile,trade_count,wallet_rank,label
0x777fae71d2ff9ec48a1213d48ba1d9d91024a1bb,700421.2887999999,5649.326755884015,51.7179460783663,1813,4458,
0xad142563a8d80e3f6a18ca5fa5936027942bbf69,695901.9860970001,1266.6227934037104,103.33284006083694,40,505,
0xd576b9ee74c58fcb913675fd9c1d14c85312d5e3,695682.4871,1105.057154676136,94.65631177475727,203,979,
0x69ea0d77ef34f1acb03aaed901df7620fc4215cd,694848.4412030001,4162.298135276338,45.983232966248956,945,6468,
0x054ec2f0ccfdae941886a3ed306635068c716639,692243.849919,3192.589073376736,102.14791133993711,83,592,zachxbt
0x19974ce5980bae3d4c4d1a67cfce60c655492e36,690464.922971,2151.1604069292725,71.8856321657189,287,2145,
0x60a92c8620846d81f5ea17b0564e0d4b7c545a71,688625.8560040002,3243.6582365973677,18.60557607004405,1472,28754,
0xcdb1f1ef8213c06911e4ba6a884176c5571e276c,681017.78477,3855.8572318117067,45.68448891059948,1108,6519,
0xa643e03c316e1e79c38194334bfb826658ddd43d,679481.601615,973.4169978363644,102.35004578152142,88,572,
0x9604b357e8307b0ccc8eb5812725d2b112c6fc1d,678881.38388,2079.407386891883,103.97789880591797,86,471,
0x7072dd52161bae614bec6905846a53c9a3a53413,677902.62727,199.47053982779335,100,3,862,
0x56ebe2a8eb1b9bccfd3059f981f9c987e45e076a,676011.517494,2784.932238909533,101.6876519833591,209,638,
0x78c66755790cce49927ed6269b70ef4354654710,675225.8869700001,903.1849382163493,68.60396864789999,48,2326,
0xd3d70751c9cc96c01829332a889a3a031b11ac2b,674657.325447,806.3306031936122,128.78910824668588,13,70,
0x8575467a6743c81ef0a8d06acc76e99b454a87fe,674538.02649,16546.481041617604,37.43100830581467,3039,8830,
0x4df7da721042bf8b75bd1cb7acbeb7f83aaf522d,672818.2240050001,10441.56675808258,23.219012638499066,4278,27879,
0x80ebf01c296b12a9b8309c86991b609907e55bfc,668071.74761,2900.490597939294,125.00881318692488,177,140,
